Index,MeanCosineSimilarity
510,0.6295677
511,0.5976341
512,0.56249624
513,0.64394516
514,0.6010627
515,0.6215549
516,0.62312686
517,0.5639613
518,0.63318485
519,0.6166406
520,0.628325
521,0.6598028
522,0.6567131
523,0.56170535
524,0.6020232
525,0.60164243
526,0.6354052
527,0.6616569
528,0.6461211
529,0.62558484
530,0.5653598
531,0.59909767
532,0.6369397
533,0.64044464
534,0.6349354
535,0.59653866
536,0.59384775
537,0.62774235
538,0.61334187
539,0.6214958
540,0.628918
541,0.6449317
542,0.651916
543,0.6301665
544,0.63706946
545,0.5538682
546,0.5990391
547,0.6301024
548,0.6269047
549,0.5675708
550,0.62060577
551,0.63362676
552,0.6343801
553,0.63584805
554,0.6187314
555,0.61528003
556,0.48287937
557,0.63115686
558,0.64960533
559,0.6207828
560,0.5966874
561,0.6444256
562,0.61650187
563,0.6617975
564,0.61959934
565,0.6226623
566,0.6158893
567,0.6413784
568,0.6120506
569,0.64257103
570,0.6385109
571,0.6170137
572,0.6452313
573,0.5776504
574,0.6147993
575,0.62795365
576,0.63002837
577,0.6110361
578,0.6326629
579,0.57548964
580,0.6085743
581,0.6590219
582,0.62615466
583,0.61770046
584,0.6484023
585,0.6254453
586,0.6383656
587,0.6351523
588,0.63370275
589,0.65572536
590,0.51749647
591,0.6253135
592,0.6418077
593,0.6528074
594,0.57555896
595,0.60012114
596,0.5841662
597,0.5706616
598,0.62558055
599,0.60481477
600,0.5921029
601,0.52484894
602,0.5947093
603,0.6015242
604,0.572362
605,0.660315
606,0.6347615
607,0.5840371
608,0.6326076
609,0.5944993
610,0.5859342
611,0.64898694
612,0.63669133
613,0.65567935
614,0.6320817
615,0.62683153
616,0.6687398
617,0.6357299
618,0.6308737
619,0.6305928
620,0.6673051
621,0.598867
622,0.63304055
623,0.47847834
624,0.6616099
625,0.590149
626,0.64390403
627,0.6419175
628,0.64901996
629,0.64247465
630,0.52313286
631,0.5790708
632,0.6377674
633,0.6065922
634,0.5349124
635,0.62054646
636,0.65313494
637,0.64435214
638,0.6242399
639,0.6343578
640,0.63541394
641,0.6408355
642,0.6086284
643,0.6152771
644,0.64596975
645,0.48876876
646,0.60446006
647,0.59076905
648,0.61521524
649,0.61898136
650,0.55542564
651,0.6474947
652,0.6358939
653,0.57856154
654,0.5576627
655,0.5999792
656,0.51818335
657,0.5958107
658,0.59868616
659,0.64084303
660,0.6438785
661,0.60620147
662,0.61605865
663,0.63174075
664,0.6284295
665,0.66053736
666,0.5689412
667,0.67573744
668,0.50556564
669,0.6220088
670,0.6303822
671,0.54816115
672,0.60922056
673,0.5971916
674,0.6359807
675,0.61712855
676,0.5942002
677,0.62800777
678,0.58803916
679,0.5991488
680,0.57081336
681,0.6521103
682,0.63690704
683,0.6452823
684,0.59661305
685,0.5810162
686,0.61562514
687,0.65698814
688,0.6348847
689,0.6802008
690,0.5364035
691,0.63725704
692,0.6479726
693,0.6327626
694,0.5929563
695,0.64117616
696,0.6352527
697,0.4971219
698,0.6154596
699,0.6511994
700,0.58459395
701,0.61389244
702,0.62437224
703,0.6024611
704,0.6226144
705,0.6432614
706,0.61002344
707,0.5793007
708,0.62550586
709,0.6590987
710,0.6547405
711,0.59508246
712,0.6166525
713,0.62852067
714,0.6064093
715,0.66190386
716,0.66709524
717,0.6673051
718,0.63459367
719,0.65968144
720,0.59160393
721,0.648661
722,0.64854777
723,0.5849966
724,0.6204964
725,0.6844218
726,0.6372834
727,0.6077728
728,0.6704906
729,0.6230776
730,0.55551696
731,0.65373355
732,0.613963
733,0.6444562
734,0.5873168
735,0.6365228
736,0.6468826
737,0.64242166
738,0.65082186
739,0.6937103
740,0.6050994
741,0.594083
742,0.5938853
743,0.62773764
744,0.5959816
745,0.5807321
746,0.6707202
747,0.6533964
748,0.6265263
749,0.65270585
750,0.65307754
751,0.57534087
752,0.64863664
753,0.6420465
754,0.61795765
755,0.64031875
756,0.6277519
757,0.63769686
758,0.6352016
759,0.6240484
760,0.6180936
761,0.58898824
762,0.6131467
763,0.60042423
764,0.64781255
765,0.6109548
766,0.50179297
767,0.6129518
768,0.63568765
769,0.6388032
770,0.6296564
771,0.5978582
772,0.56680906
773,0.6655921
774,0.58295125
775,0.6225123
776,0.54734963
777,0.60785747
778,0.6888629
779,0.49966294
780,0.6395544
781,0.64373195
782,0.64709055
783,0.647589
784,0.56652296
785,0.65758574
786,0.6432416
787,0.57139796
788,0.64132524
789,0.65682137
790,0.508995
791,0.61419433
792,0.6222264
793,0.61929697
794,0.61816627
795,0.6396497
796,0.6329471
797,0.63006425
798,0.6905857
799,0.64210033
800,0.65866095
801,0.4763337
802,0.62954944
803,0.56610274
804,0.6007168
805,0.6089378
806,0.61050564
807,0.62473685
808,0.61919427
809,0.6482411
810,0.622667
811,0.6387944
812,0.5887092
813,0.6202459
814,0.6329751
815,0.58165663
816,0.6607371
817,0.6487997
818,0.5869916
819,0.6478842
820,0.6478842
821,0.6252761
822,0.57792366
823,0.5739414
824,0.62129253
825,0.60381675
826,0.597408
827,0.56810707
828,0.6238515
829,0.6471448
830,0.6395308
831,0.67150646
832,0.64277816
833,0.657598
834,0.593252
835,0.67115825
836,0.67955524
837,0.64934474
838,0.5534325
839,0.6202332
840,0.6195519
841,0.5922686
842,0.63246566
843,0.5804493
844,0.6411083
845,0.64848685
846,0   9761
847,0.64096737
848,0.65501493
849,0.5971384
850,0.63212997
851,0.6114989
852,0.664048
853,0.64504856
854,0.5933446
855,0.61575
856,0.5173657
857,0.6555758
858,0.595811
859,0.6468313
860,0.5975254
861,0.5862826
862,0.6130917
863,0.6056272
864,0.61322063
865,0.5725533
866,0.6247902
867,0.58820593
868,0.5954798
869,0.6168435
870,0.6631692
871,0.6530546
872,0.5742847
873,0.6096058
874,0.5980602
875,0.6339565
876,0.6202463
877,0.6425428
878,0.36280063
879,0.6331646
880,0.6024207
881,0.6173892
882,0.64566654
883,0.6275359
884,0.67129457
885,0.6047663
886,0.65142345
887,0.6634237
888,0.6568339
889,0.6354199
890,0.5234526
891,0.61133814
892,0.6267728
893,0.6335167
894,0.64766777
895,0.60700387
896,0.64558756
897,0.58926684
898,0.65016764
899,0.6177807
900,0.5969238
901,0.52064174
902,0.62092775
903,0.6631625
904,0.56029373
905,0.6141199
906,0.66104996
907,0.60628134
908,0.68205297
909,0.6627492
910,0.6241912
911,0.61639273
912,0.4782354
913,0.62082356
914,0.6525293
915,0.6310528
916,0.65036845
917,0.63831997
918,0.6273446
919,0.6054458
920,0.62596476
921,0.6571105
922,0.6195116
923,0.5168546
924,0.631375
925,0.64635867
926,0.6163961
927,0.63601995
928,0.67172915
929,0.6334446
930,0.6438816
931,0.6354998
932,0.6253933
933,0.64466566
934,0.5941311
935,0.5626912
936,0.59765214
937,0.6189968
938,0.6550466
939,0.5952868
940,0.6059432
941,0.44581753
942,0.6657556
943,0.5903096
944,0.6233804
945,0.34930232
946,0.61583656
947,0.6257034
948,0.6159925
949,0.64514965
950,0.6521917
951,0.5499343
952,0.43226907
953,0.58262914
954,0.6334992
955,0.6028903
956,0.587547
957,0.6005385
958,0.6440242
959,0.6013836
960,0.6703831
961,0.6149016
962,0.6313593
963,0.6403765
964,0.65660316
965,0.6754274
966,0.6277694
967,0.6777159
968,0.6691001
969,0.6347918
970,0.6511006
971,0.62663627
972,0.5925451
973,0.66575354
974,0.6591155
975,0.60509527
976,0.66765094
977,0.6574299
978,0.34074506
979,0.6600067
980,0.64121985
981,0.63843864
982,0.58879334
983,0.5774118
984,0.6279873
985,0.39733982
986,0.6574556
987,0.6445543
988,0.5210551
989,0.6624777
990,0.57100576
991,0.39238977
992,0.5613475
993,0.4228957
994,0.4580753
995,0.57452166
996,0.49304423
997,0.5237253
998,0.6532825
999,0.6448034
